Year,Cumulative mass balance (Gt),Cumulative mass balance uncertainty (Gt),Equivalent sea level rise (mm),Equivalent sea level rise uncertainty (mm)
1992,2.525,33.0081,-0.01,0.09
1992.0833,5.05,46.6805,-0.01,0.13
1992.1667,7.575,57.1717,-0.02,0.16
1992.25,-3.3129,64.5389,0.01,0.18
1992.3333,-14.2009,71.1473,0.04,0.2
1992.4167,-18.8227,75.36,0.05,0.21
1992.5,-23.4446,79.3494,0.07,0.22
1992.5833,-28.0665,83.1476,0.08,0.23
1992.6667,-32.6883,86.7798,0.09,0.24
1992.75,-37.3102,90.2659,0.1,0.25
1992.8333,-41.9321,93.6223,0.12,0.26
1992.9167,-46.5539,96.8624,0.13,0.27
1993,-53.2358,100.0886,0.15,0.28
1993.0833,-59.9177,103.214,0.17,0.29
1993.1667,-66.5996,106.2475,0.18,0.3
1993.25,-73.2815,109.1968,0.2,0.3
1993.3333,-79.9634,112.0684,0.22,0.31
1993.4167,-86.6453,114.8684,0.24,0.32
1993.5,-93.3272,117.6016,0.26,0.33
1993.5833,-100.0091,120.2728,0.28,0.33
1993.6667,-106.691,122.8859,0.3,0.34
1993.75,-113.3729,125.4446,0.31,0.35
1993.8333,-120.0548,127.9521,0.33,0.36
1993.9167,-126.7367,130.4115,0.35,0.36
1994,-134.1763,132.755,0.37,0.37
1994.0833,-141.6158,135.0579,0.39,0.38
1994.1667,-149.0554,137.3222,0.41,0.38
1994.25,-156.4949,139.5498,0.43,0.39
1994.3333,-163.9345,141.7423,0.46,0.39
1994.4167,-171.374,143.9015,0.48,0.4
1994.5,-178.8136,146.0287,0.5,0.41
1994.5833,-186.2531,148.1254,0.52,0.41
1994.6667,-193.6927,150.1928,0.54,0.42
1994.75,-201.1323,152.2321,0.56,0.42
1994.8333,-208.5718,154.2445,0.58,0.43
1994.9167,-216.0114,156.231,0.6,0.43
1995,-224.1581,158.2205,0.62,0.44
1995.0833,-232.3047,160.1854,0.65,0.44
1995.1667,-240.4514,162.1264,0.67,0.45
1995.25,-248.5981,164.0445,0.69,0.46
1995.3333,-256.7448,165.9404,0.71,0.46
1995.4167,-262.675,167.808,0.73,0.47
1995.5,-268.6052,169.6551,0.75,0.47
1995.5833,-274.5354,171.4822,0.76,0.48
1995.6667,-280.4656,173.2901,0.78,0.48
1995.75,-286.3958,175.0793,0.8,0.49
1995.8333,-292.326,176.8504,0.81,0.49
1995.9167,-298.2562,178.604,0.83,0.5
1996,-303.9195,180.3629,0.84,0.5
1996.0833,-309.5828,182.1049,0.86,0.51
1996.1667,-315.2461,183.8303,0.88,0.51
1996.25,-320.9094,185.5397,0.89,0.52
1996.3333,-326.5726,187.2334,0.91,0.52
1996.4167,-332.2359,188.912,0.92,0.52
1996.5,-335.3437,190.5709,0.93,0.53
1996.5833,-338.4514,192.2155,0.94,0.53
1996.6667,-341.5591,193.8462,0.95,0.54
1996.75,-344.6668,195.4632,0.96,0.54
1996.8333,-347.7745,197.067,0.97,0.55
1996.9167,-350.8822,198.6578,0.97,0.55
1997,-351.5116,200.2037,0.98,0.56
1997.0833,-352.1409,201.7376,0.98,0.56
1997.1667,-352.7703,203.26,0.98,0.56
1997.25,-353.3997,204.7711,0.98,0.57
1997.3333,-354.029,206.2712,0.98,0.57
1997.4167,-354.6584,207.7604,0.99,0.58
1997.5,-355.2878,209.2389,0.99,0.58
1997.5833,-355.9171,210.7072,0.99,0.59
1997.6667,-356.5465,212.1652,0.99,0.59
1997.75,-357.1758,213.6133,0.99,0.59
1997.8333,-357.8052,215.0517,0.99,0.6
1997.9167,-358.4346,216.4805,1,0.6
1998,-359.517,217.9211,1,0.61
1998.0833,-360.5994,219.3523,1,0.61
1998.1667,-361.6818,220.7742,1,0.61
1998.25,-362.7643,222.187,1.01,0.62
1998.3333,-363.8467,223.5909,1.01,0.62
1998.4167,-364.9291,224.9861,1.01,0.62
1998.5,-366.0116,226.3726,1.02,0.63
1998.5833,-367.094,227.7507,1.02,0.63
1998.6667,-368.1764,229.1205,1.02,0.64
1998.75,-369.2588,230.4821,1.03,0.64
1998.8333,-370.3413,231.8358,1.03,0.64
1998.9167,-371.4237,233.1816,1.03,0.65
1999,-373.1623,234.5509,1.04,0.65
1999.0833,-374.9009,235.9123,1.04,0.66
