Year,Cumulative mass balance (Gt),Cumulative mass balance uncertainty (Gt),Equivalent sea level rise (mm),Equivalent sea level rise uncertainty (mm)
1992,-0.6472,16.2813,0,0.05
1992.0833,-1.2944,23.0252,0,0.06
1992.1667,-1.9417,28.2,0.01,0.08
1992.25,-2.5889,32.5626,0.01,0.09
1992.3333,-3.2361,36.406,0.01,0.1
1992.4167,-3.8833,39.8808,0.01,0.11
1992.5,-4.5306,43.0762,0.01,0.12
1992.5833,-5.1778,46.0504,0.01,0.13
1992.6667,-5.825,48.8438,0.02,0.14
1992.75,-6.4722,51.4859,0.02,0.14
1992.8333,-7.1194,53.9989,0.02,0.15
1992.9167,-7.7667,56.4,0.02,0.16
1993,-9.7972,58.7057,0.03,0.16
1993.0833,-11.8278,60.9241,0.03,0.17
1993.1667,-13.8583,63.0646,0.04,0.18
1993.25,-15.8889,65.1347,0.04,0.18
1993.3333,-17.9194,67.1411,0.05,0.19
1993.4167,-19.95,69.0892,0.06,0.19
1993.5,-21.9806,70.9839,0.06,0.2
1993.5833,-24.0111,72.8293,0.07,0.2
1993.6667,-26.0417,74.6291,0.07,0.21
1993.75,-28.0722,76.3865,0.08,0.21
1993.8333,-30.1028,78.1043,0.08,0.22
1993.9167,-32.1333,79.7852,0.09,0.22
1994,-40.9889,81.4295,0.11,0.23
1994.0833,-49.8444,83.0412,0.14,0.23
1994.1667,-58.7,84.6222,0.16,0.24
1994.25,-67.5556,86.1742,0.19,0.24
1994.3333,-76.4111,87.6988,0.21,0.24
1994.4167,-85.2667,89.1973,0.24,0.25
1994.5,-94.1222,90.6711,0.26,0.25
1994.5833,-102.9778,92.1212,0.29,0.26
1994.6667,-111.8333,93.5489,0.31,0.26
1994.75,-120.6889,94.9552,0.34,0.26
1994.8333,-129.5444,96.3409,0.36,0.27
1994.9167,-138.4,97.7069,0.38,0.27
1995,-142.1619,100.2357,0.39,0.28
1995.0833,-145.9238,102.7022,0.41,0.29
1995.1667,-149.6858,105.1109,0.42,0.29
1995.25,-153.4477,107.4655,0.43,0.3
1995.3333,-157.2096,109.7697,0.44,0.3
1995.4167,-160.9715,112.0265,0.45,0.31
1995.5,-164.7335,114.2387,0.46,0.32
1995.5833,-168.4954,116.4089,0.47,0.32
1995.6667,-172.2573,118.5394,0.48,0.33
1995.75,-176.0192,120.6323,0.49,0.34
1995.8333,-179.7812,122.6894,0.5,0.34
1995.9167,-183.5431,124.7126,0.51,0.35
1996,-182.8793,126.7556,0.51,0.35
1996.0833,-182.2155,128.7662,0.51,0.36
1996.1667,-181.5517,130.7459,0.5,0.36
1996.25,-180.8879,132.696,0.5,0.37
1996.3333,-180.2241,134.6179,0.5,0.37
1996.4167,-179.5603,136.5127,0.5,0.38
1996.5,-178.8966,138.3816,0.5,0.38
1996.5833,-178.2328,140.2256,0.5,0.39
1996.6667,-177.569,142.0457,0.49,0.39
1996.75,-176.9052,143.8427,0.49,0.4
1996.8333,-176.2414,145.6175,0.49,0.4
1996.9167,-175.5776,147.371,0.49,0.41
1997,-175.9676,149.1765,0.49,0.41
1997.0833,-176.3576,150.9604,0.49,0.42
1997.1667,-176.7476,152.7234,0.49,0.42
1997.25,-177.1376,154.4663,0.49,0.43
1997.3333,-177.5276,156.1898,0.49,0.43
1997.4167,-177.9176,157.8944,0.49,0.44
1997.5,-178.3076,159.5809,0.5,0.44
1997.5833,-178.6976,161.2497,0.5,0.45
1997.6667,-179.0876,162.9014,0.5,0.45
1997.75,-179.4776,164.5366,0.5,0.46
1997.8333,-179.8676,166.1556,0.5,0.46
1997.9167,-180.2576,167.759,0.5,0.47
1998,-184.7953,169.3477,0.51,0.47
1998.0833,-189.3329,170.9217,0.53,0.47
1998.1667,-193.8706,172.4812,0.54,0.48
1998.25,-198.4082,174.0268,0.55,0.48
1998.3333,-202.9458,175.5588,0.56,0.49
1998.4167,-207.4835,177.0776,0.58,0.49
1998.5,-212.0211,178.5834,0.59,0.5
1998.5833,-216.5588,180.0766,0.6,0.5
1998.6667,-221.0964,181.5576,0.61,0.5
1998.75,-225.634,183.0266,0.63,0.51
1998.8333,-230.1717,184.4838,0.64,0.51
1998.9167,-234.7093,185.9297,0.65,0.52
1999,-240.9069,187.35,0.67,0.52
1999.0833,-247.1046,188.7596,0.69,0.52
1999.1667,-253.3022,190.1588,0.7,0.53
1999.25,-259.4998,191.5477,0.72,0.53
1999.3333,-265.6974,192.9267,0.74,0.54
1999.4167,-271.895,194.2959,0.76,0.54
1999.5,-278.0926,195.6555,0.77,0.54
1999.5833,-284.2902,197.0057,0.79,0.55
1999.6667,-290.4878,198.3467,0.81,0.55
1999.75,-296.6855,199.6787,0.82,0.55
1999.8333,-302.8831,201.0019,0.84,0.56
1999.9167,-309.0807,202.3164,0.86,0.56
2000,-311.5359,203.5893,0.87,0.57
2000.0833,-313.9912,204.8544,0.87,0.57
2000.1667,-316.4465,206.1116,0.88,0.57
2000.25,-318.9017,207.3613,0.89,0.58
2000.3333,-321.357,208.6035,0.89,0.58
2000.4167,-323.8123,209.8383,0.9,0.58
2000.5,-326.2675,211.0659,0.91,0.59
2000.5833,-328.7228,212.2864,0.91,0.59
2000.6667,-331.178,213.4999,0.92,0.59
2000.75,-333.6333,214.7065,0.93,0.6
2000.8333,-336.0886,215.9064,0.93,0.6
2000.9167,-338.5438,217.0997,0.94,0.6
2001,-344.9469,218.343,0.96,0.61
2001.0833,-351.35,219.5793,0.98,0.61
2001.1667,-357.7531,220.8086,0.99,0.61
2001.25,-364.1562,222.0311,1.01,0.62
2001.3333,-370.5594,223.247,1.03,0.62
2001.4167,-376.9625,224.4562,1.05,0.62
2001.5,-383.3656,225.659,1.06,0.63
2001.5833,-389.7687,226.8554,1.08,0.63
2001.6667,-396.1718,228.0455,1.1,0.63
2001.75,-402.5749,229.2294,1.12,0.64
2001.8333,-408.978,230.4073,1.14,0.64
2001.9167,-415.3811,231.5792,1.15,0.64
2002,-426.3901,233.4732,1.18,0.65
2002.0833,-437.3992,235.352,1.21,0.65
2002.1667,-448.4083,237.216,1.25,0.66
2002.25,-459.4173,239.0654,1.28,0.66
2002.3333,-470.4264,240.9006,1.31,0.67
2002.4167,-481.4355,242.722,1.34,0.67
2002.5,-492.4445,244.5297,1.37,0.68
2002.5833,-503.4536,246.3242,1.4,0.68
2002.6667,-514.4626,248.1058,1.43,0.69
2002.75,-525.4717,249.8746,1.46,0.69
2002.8333,-536.4808,251.631,1.49,0.7
2002.9167,-547.4898,253.3752,1.52,0.7
2003,-559.6476,254.8935,1.55,0.71
2003.0833,-571.9282,256.3612,1.59,0.71
2003.1667,-584.5842,257.8243,1.62,0.72
2003.25,-597.0188,258.8309,1.66,0.72
2003.3333,-609.6076,259.841,1.69,0.72
2003.4167,-622.3054,260.8442,1.73,0.72
2003.5,-635.0267,261.8229,1.76,0.73
2003.5833,-647.7554,262.7795,1.8,0.73
2003.6667,-660.4377,263.7192,1.83,0.73
2003.75,-675.0023,264.8326,1.88,0.74
2003.8333,-689.3574,265.9541,1.91,0.74
2003.9167,-703.3937,267.0702,1.95,0.74
2004,-717.6222,268.1602,1.99,0.74
2004.0833,-731.887,269.2324,2.03,0.75
2004.1667,-746.5007,270.3232,2.07,0.75
2004.25,-761.5624,271.452,2.12,0.75
2004.3333,-776.9698,272.5972,2.16,0.76
2004.4167,-792.6158,273.7463,2.2,0.76
2004.5,-808.3424,274.8776,2.25,0.76
2004.5833,-824.1065,275.9993,2.29,0.77
2004.6667,-839.8795,277.11,2.33,0.77
2004.75,-855.4778,278.2165,2.38,0.77
2004.8333,-870.8549,279.3002,2.42,0.78
2004.9167,-885.9258,280.3386,2.46,0.78
2005,-901.7931,281.3508,2.5,0.78
2005.0833,-917.6214,282.3575,2.55,0.78
2005.1667,-933.6929,283.369,2.59,0.79
2005.25,-950.0626,284.3825,2.64,0.79
2005.3333,-966.662,285.3905,2.69,0.79
2005.4167,-983.4465,286.3793,2.73,0.8
2005.5,-1000.3866,287.3583,2.78,0.8
2005.5833,-1017.4088,288.3259,2.83,0.8
2005.6667,-1034.3975,289.294,2.87,0.8
2005.75,-1051.3023,290.2653,2.92,0.81
2005.8333,-1067.9803,291.2395,2.97,0.81
2005.9167,-1084.4013,292.2113,3.01,0.81
2006,-1101.6254,293.1876,3.06,0.81
2006.0833,-1118.8938,294.1637,3.11,0.82
2006.1667,-1136.4824,295.1788,3.16,0.82
2006.25,-1154.502,296.2307,3.21,0.82
