,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
NH max,16.593,16.295,15.786,16.317,16.38,15.795,16.128,16.149,16.284,16.275,15.701,16.177,15.601,15.559,15.987,15.723,15.335,15.426,15.634,15.999,15.582,15.439,15.672,15.576,15.595,15.216,14.952,14.683,14.765,15.296,15.136,15.283,14.667,15.294,15.167,14.964,14.517,14.507,14.406,14.465,14.817,15.018,14.781,14.875
NH min,6.903,7.544,6.903,7.166,7.221,6.426,6.491,7.157,6.963,7.126,6.907,6.036,6.302,7.209,6.184,6.961,6.027,7.191,6.628,6.351,5.757,5.978,6.603,5.638,6.007,5.794,5.319,5.774,4.155,4.586,5.119,4.615,4.344,3.387,5.054,5.029,4.433,4.165,4.665,4.656,4.192,3.818,4.772,4.674
SH max,18.343,19.059,18.817,18.539,18.787,18.322,18.92,17.986,18.508,18.728,18.222,18.346,18.642,18.427,18.666,18.758,18.621,18.804,18.736,19.216,18.938,19.107,18.446,18.048,18.623,19.078,19.249,19.331,19.055,18.261,19.251,18.945,18.916,19.47,19.556,20.156,18.857,18.53,18.102,18.249,18.455,19.026,18.84,18.189
SH min,2.913,2.552,2.699,2.89,2.864,2.425,2.646,2.984,3.03,2.694,2.731,2.812,2.573,2.523,2.312,3.097,3.356,2.629,2.29,2.79,2.723,2.652,3.463,2.724,3.65,3.312,2.84,2.519,2.749,3.749,2.705,2.858,2.339,3.165,3.694,3.561,3.587,2.632,2.11,2.215,2.46,2.74,2.702,1.924
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,NH max,NH min,SH max,SH min,10-year mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,16.593,6.903,18.343,2.913,,,,,,"Arctic panel is columns B (blue), C (red), F (blue 10-year mean), G (red 10-year mean)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,16.295,7.544,19.059,2.552,,,,,,"Antarctic panel is columns D (blue), C (red), F (blue 10-year mean), G (red 10-year mean)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,15.786,6.903,18.817,2.699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,16.317,7.166,18.539,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
