time,ohc_mean_0-300m,ohc_std_0-300m,ohc_mean_0-700m,ohc_std_0-700m,ohc_mean_0-2000m,ohc_std_0-2000m,ohc_mean_700-2000m,ohc_std_700-2000m
3833,-3.2237907e+08,25621004,-5.102921e+08,34104328,-7.8237594e+08,38814304,-2.7320864e+08,31589004
4198,-2.9762928e+08,52828300,-4.817449e+08,50511628,-7.3198272e+08,38691792,-2.5375069e+08,50015272
4563,-2.5226043e+08,64864804,-4.2502755e+08,85701008,-6.9105498e+08,26451982,-2.4480445e+08,40641668
4928,-2.8563594e+08,39138872,-4.6617568e+08,47256876,-7.1556429e+08,23186180,-2.6714706e+08,24291084
5294,-3.5934054e+08,37740916,-5.0701021e+08,57110888,-7.5209414e+08,64937196,-2.4487555e+08,26830552
5659,-3.9406275e+08,34608784,-5.2115203e+08,56968860,-7.8611443e+08,28879876,-2.4234629e+08,19398184
6024,-3.6754045e+08,35872492,-4.9119603e+08,74197640,-7.3706387e+08,16993590,-2.2356749e+08,24560560
6389,-3.8326771e+08,28581076,-5.3875827e+08,35089280,-7.7472538e+08,23344066,-2.3899955e+08,39779688
6755,-4.0230867e+08,33860992,-5.896969e+08,36701756,-8.4201331e+08,27846438,-2.7036016e+08,31299770
7120,-3.9102646e+08,46011088,-5.7824768e+08,51437760,-8.0419162e+08,26802268,-2.6772891e+08,24137294
7485,-3.9974602e+08,43081424,-5.6958144e+08,46363432,-8.1537677e+08,39002344,-2.5852605e+08,17168054
7850,-3.9629648e+08,52887244,-5.5062048e+08,54726192,-7.5480442e+08,34388756,-2.4640942e+08,14516617
8216,-3.7812602e+08,55274032,-5.3228598e+08,58278772,-7.5418662e+08,29801988,-2.6841589e+08,21266254
8581,-3.569792e+08,56621568,-5.4455277e+08,64921072,-7.3629626e+08,40567984,-2.5188115e+08,21477482
8946,-3.5864586e+08,43830120,-5.31116e+08,58918160,-6.967529e+08,38015004,-2.2617155e+08,42072064
9311,-3.3322211e+08,51957804,-4.7709005e+08,86144256,-6.5394387e+08,35749316,-2.1368205e+08,25839198
9677,-3.3869901e+08,36737260,-4.8436384e+08,56238056,-6.8334253e+08,42902496,-2.2763442e+08,32003208
10042,-2.6809155e+08,58138848,-4.2460746e+08,89222760,-6.3516704e+08,73783088,-2.2689878e+08,24704922
10407,-2.63724e+08,44504116,-4.2280835e+08,63980292,-5.9743366e+08,89907520,-2.1605088e+08,36272668
10772,-2.7844589e+08,31044092,-4.4750349e+08,43825136,-6.453415e+08,53622696,-2.2981082e+08,28993958
11138,-2.4016931e+08,39995384,-3.6992861e+08,77933568,-5.6633741e+08,91301648,-1.9870282e+08,27909992
11503,-2.395441e+08,38770808,-3.5311363e+08,70598840,-5.8003194e+08,68682920,-2.2497062e+08,12970542
11868,-2.7907453e+08,35245700,-4.1296077e+08,43699580,-6.4372e+08,35714280,-2.4592568e+08,23900592
12233,-2.9839216e+08,22941904,-4.5959744e+08,46953852,-6.6712448e+08,46118728,-2.2647971e+08,19925844
12599,-2.9843754e+08,33097578,-4.3922608e+08,65830656,-6.2180467e+08,1.0434044e+08,-2.1712008e+08,34189940
12964,-2.6094834e+08,36398828,-4.05864e+08,57760276,-5.904048e+08,86290104,-2.1134598e+08,35121168
13329,-2.5115218e+08,32334794,-3.9928422e+08,43306476,-5.5574515e+08,37864396,-1.8872558e+08,18210308
13694,-2.5784466e+08,28102630,-4.1095946e+08,43870348,-5.8674752e+08,32165348,-2.0358235e+08,24731616
14060,-2.4232314e+08,39245312,-3.9250848e+08,51621844,-5.6857107e+08,53499156,-2.0816702e+08,11991160
14425,-2.0837259e+08,35084484,-3.8829629e+08,58016928,-5.7783315e+08,63955636,-2.0073746e+08,5939284
14790,-2.0165206e+08,37043148,-3.9979568e+08,58763980,-5.8621882e+08,66231980,-2.0500082e+08,15082090
